threadsLectura,threadsMaximo,cantArchivos,TIEMPO_MAX,TIEMPO_CARGAR
1,12,41,0.314817,131.699
1,12,42,0.349233,133.51
1,12,43,0.32084,139.693
1,12,44,0.348652,140.055
1,12,45,0.327596,144.199
1,12,46,0.313288,146.3
1,12,47,0.345031,151.029
1,12,48,0.342472,152.627
1,12,49,0.332755,157.103
1,13,1,0.322486,3.47639
1,13,2,0.232583,6.869
1,13,3,0.27686,10.2008
1,13,4,0.279721,13.0987
1,13,5,0.35194,16.7866
1,13,6,0.362734,19.3919
1,13,7,0.372654,22.8624
1,13,8,0.363732,25.9999
1,13,9,0.379419,29.4926
1,13,10,0.373583,32.3303
1,13,11,0.378995,35.6648
1,13,12,0.34075,38.5623
1,13,13,0.35219,42.4036
1,13,14,0.359073,44.8366
1,13,15,0.375881,48.5833
1,13,16,0.343998,51.3529
1,13,17,0.370734,54.8684
1,13,18,0.366838,58.0069
1,13,19,0.300881,61.5399
1,13,20,0.344229,64.0252
1,13,21,0.367673,67.6213
1,13,22,0.355766,69.8811
1,13,23,0.360893,74.4053
1,13,24,0.379002,76.4444
1,13,25,0.369909,80.2328
1,13,26,0.318675,82.9656
1,13,27,0.353687,86.9304
1,13,28,0.334761,89.6321
1,13,29,0.357224,94.0223
1,13,30,0.367657,95.4961
1,13,31,0.398941,100.19
1,13,32,0.377907,102.578
1,13,33,0.378293,106.239
1,13,34,0.310658,107.782
1,13,35,0.366763,112.354
1,13,36,0.362511,114.335
1,13,37,0.341248,118.82
1,13,38,0.33696,120.795
1,13,39,0.391551,125.94
1,13,40,0.382645,127.625
1,13,41,0.361031,132.77
1,13,42,0.36875,134.242
1,13,43,0.36447,138.354
1,13,44,0.367449,140.765
1,13,45,0.359054,145.175
1,13,46,0.405065,147.52
1,13,47,0.354433,150.969
1,13,48,0.354132,152.229
1,13,49,0.336394,158.404
1,14,1,0.346372,3.51431
1,14,2,0.307087,6.85973
1,14,3,0.299455,10.2758
1,14,4,0.285665,13.4329
1,14,5,0.290907,16.8339
1,14,6,0.267502,20.0314
1,14,7,0.383883,22.9704
1,14,8,0.40167,25.933
1,14,9,0.362582,29.4457
1,14,10,0.378633,32.0462
1,14,11,0.357469,35.7582
1,14,12,0.384945,38.4413
1,14,13,0.313925,42.0029
1,14,14,0.412929,44.8192
1,14,15,0.356226,48.5739
1,14,16,0.394343,51.6768
1,14,17,0.411814,54.7158
1,14,18,0.408278,57.3926
1,14,19,0.303826,61.3747
1,14,20,0.363459,63.8574
1,14,21,0.377994,67.9453
1,14,22,0.38953,70.2817
1,14,23,0.373556,74.3196
1,14,24,0.356173,78.4102
1,14,25,0.30014,80.9812
1,14,26,0.372763,82.7701
1,14,27,0.374001,88.2191
1,14,28,0.386057,89.5347
1,14,29,0.371257,93.7739
1,14,30,0.384768,95.9919
1,14,31,0.323418,99.6649
1,14,32,0.27563,101.789
1,14,33,0.388178,106.568
1,14,34,0.370195,107.938
1,14,35,0.364682,112.635
1,14,36,0.37583,114.099
1,14,37,0.376294,118.977
1,14,38,0.373353,120.068
1,14,39,0.378061,126.137
1,14,40,0.392515,127.699
1,14,41,0.407273,131.855
1,14,42,0.383078,133.379
1,14,43,0.365952,137.971
1,14,44,0.334527,140.442
1,14,45,0.351086,144.601
1,14,46,0.401107,146.274
1,14,47,0.372092,151.776
1,14,48,0.378509,153.076
1,14,49,0.397528,159.88
1,15,1,0.380602,3.52803
1,15,2,0.314118,6.7946
1,15,3,0.3779,10.234
1,15,4,0.440717,13.1363
1,15,5,0.389131,16.3989
1,15,6,0.383793,19.3252
1,15,7,0.415424,22.7428
1,15,8,0.388889,25.7661
1,15,9,0.381097,29.3041
1,15,10,0.385202,32.1853
1,15,11,0.366961,35.6983
1,15,12,0.407556,38.6262
1,15,13,0.429443,42.1005
1,15,14,0.46177,44.9882
1,15,15,0.352278,48.7095
1,15,16,0.36975,51.1034
1,15,17,0.398237,55.1544
1,15,18,0.377407,57.822
1,15,19,0.415535,61.6263
1,15,20,0.41222,64.1447
1,15,21,0.396709,69.009
1,15,22,0.390151,70.5126
1,15,23,0.422836,74.1104
1,15,24,0.370496,76.8653
1,15,25,0.433148,81.3063
1,15,26,0.37407,83.5132
1,15,27,0.385873,87.2314
1,15,28,0.411327,89.1024
1,15,29,0.330149,93.5617
1,15,30,0.414626,95.7499
1,15,31,0.374124,100.339
1,15,32,0.43597,101.851
1,15,33,0.399222,106.995
1,15,34,0.375616,107.862
1,15,35,0.396536,112.769
1,15,36,0.37434,114.246
1,15,37,0.412787,119.591
1,15,38,0.367259,120.872
1,15,39,0.415132,126.233
1,15,40,0.4126,128.34
1,15,41,0.374264,131.665
1,15,42,0.375945,134.032
1,15,43,0.29324,138.399
1,15,44,0.39282,140.14
1,15,45,0.411221,145.361
1,15,46,0.279992,147.672
1,15,47,0.422103,152.176
1,15,48,0.38744,152.054
1,15,49,0.397339,156.687
1,16,1,0.289313,3.54798
1,16,2,0.272822,6.82519
1,16,3,0.293592,10.2023
1,16,4,0.427113,13.0538
1,16,5,0.385453,16.615
1,16,6,0.403236,19.5203
1,16,7,0.415658,22.9365
1,16,8,0.414244,26.0503
1,16,9,0.439183,29.3119
1,16,10,0.407746,32.1607
1,16,11,0.451058,36.1852
1,16,12,0.406763,38.5875
1,16,13,0.421932,42.3041
1,16,14,0.453188,44.7099
1,16,15,0.399945,48.5217
1,16,16,0.428157,50.9601
1,16,17,0.406793,55.2511
1,16,18,0.431219,57.2484
1,16,19,0.45377,61.3821
1,16,20,0.41932,63.5126
1,16,21,0.434026,68.1372
1,16,22,0.418424,70.5043
1,16,23,0.422422,74.1057
1,16,24,0.419473,76.7334
1,16,25,0.443367,81.5029
1,16,26,0.464619,83.5326
1,16,27,0.420874,87.0739
1,16,28,0.42636,89.5612
1,16,29,0.425093,93.0195
1,16,30,0.433177,95.5962
1,16,31,0.377479,100.04
1,16,32,0.452392,101.329
1,16,33,0.376652,106.32
1,16,34,0.40179,107.796
1,16,35,0.420373,112.565
1,16,36,0.434069,115.204
1,16,37,0.413521,120.045
1,16,38,0.426804,120.003
1,16,39,0.446008,124.985
1,16,40,0.383334,127.09
1,16,41,0.407623,131.687
1,16,42,0.384798,133.767
1,16,43,0.419251,138.281
1,16,44,0.415863,140.654
1,16,45,0.370777,144.708
1,16,46,0.442414,146.672
1,16,47,0.402272,151.004
1,16,48,0.408719,152.772
1,16,49,0.449525,156.806
1,17,1,0.432749,3.51528
1,17,2,0.405955,6.7379
1,17,3,0.35096,10.2085
1,17,4,0.365275,13.0579
1,17,5,0.450553,16.745
1,17,6,0.357077,19.7491
1,17,7,0.432063,23.3355
1,17,8,0.427425,25.9217
1,17,9,0.448714,29.6749
1,17,10,0.401431,32.4047
1,17,11,0.440083,36.1519
1,17,12,0.3454,38.3941
1,17,13,0.438182,42.3706
1,17,14,0.431355,44.9805
1,17,15,0.461845,48.4682
1,17,16,0.457948,51.1805
1,17,17,0.456952,54.9302
1,17,18,0.446337,57.4182
1,17,19,0.451446,61.7115
1,17,20,0.458564,63.5992
1,17,21,0.396957,67.6407
1,17,22,0.329588,70.1655
1,17,23,0.460702,74.3043
1,17,24,0.437899,76.1241
1,17,25,0.388281,80.7475
1,17,26,0.444689,83.031
1,17,27,0.446767,87.409
1,17,28,0.44631,89.5875
1,17,29,0.4,93.9292
1,17,30,0.475144,95.9284
1,17,31,0.426567,100.302
1,17,32,0.434279,102.051
1,17,33,0.434992,107.088
1,17,34,0.449298,113.186
1,17,35,0.48995,118.117
1,17,36,0.501906,121.016
1,17,37,0.531717,123.331
1,17,38,0.537567,124.956
1,17,39,0.427821,129.309
1,17,40,0.478471,130.269
1,17,41,0.49675,135.072
1,17,42,0.46276,137.348
1,17,43,0.480416,140.261
1,17,44,0.454494,142.315
1,17,45,0.442991,146.944
1,17,46,0.331582,146.984
1,17,47,0.417847,157.035
1,17,48,0.445656,155.134
1,17,49,0.318698,157.265
1,18,1,0.402038,3.47502
1,18,2,0.450222,6.84357
1,18,3,0.439908,10.09
1,18,4,0.489392,13.2804
1,18,5,0.466746,16.4962
1,18,6,0.340249,19.8956
1,18,7,0.460316,23.141
1,18,8,0.475289,25.784
1,18,9,0.452099,29.6086
1,18,10,0.447862,32.0897
1,18,11,0.458982,35.5416
1,18,12,0.429723,38.6694
1,18,13,0.454072,42.0938
1,18,14,0.491724,45.2802
1,18,15,0.353744,48.4819
1,18,16,0.469189,51.1941
1,18,17,0.474525,54.8835
1,18,18,0.477517,57.2661
1,18,19,0.361075,61.4205
1,18,20,0.324555,63.5664
1,18,21,0.442559,67.6804
1,18,22,0.452894,70.1066
1,18,23,0.469432,74.4921
1,18,24,0.480868,76.4603
1,18,25,0.458715,80.6488
1,18,26,0.474857,82.9801
1,18,27,0.494701,87.286
1,18,28,0.465547,89.376
1,18,29,0.445956,93.6072
1,18,30,0.450107,95.6572
1,18,31,0.397314,100.649
1,18,32,0.33951,101.891
1,18,33,0.479692,106.493
1,18,34,0.498444,108.489
1,18,35,0.44301,112.964
1,18,36,0.467819,115.343
1,18,37,0.416782,119.603
1,18,38,0.384332,120.868
1,18,39,0.447016,125.963
1,18,40,0.471107,127.423
1,18,41,0.449829,131.576
1,18,42,0.420097,134.72
1,18,43,0.435745,138.743
1,18,44,0.462214,139.851
1,18,45,0.316426,145.9
